FID,x,y,adr_pelny,ogolem
41210,20.07212943,50.09673336,BO?YWOJA 11,2
30960,20.07221031,50.09703214,BO?YWOJA 2,3
46400,20.07245767,50.09699032,BO?YWOJA 3,1
34703,20.07237828,50.09692768,BO?YWOJA 5,3
18621,20.07194923,50.09684781,BO?YWOJA 6,5
27470,20.0723483,50.09690387,BO?YWOJA 7,4
41211,20.0722374,50.09669957,BO?YWOJA 9,2
36351,20.06658689,50.09716911,BUKSZPANOWA 14,2
40056,20.06658844,50.09660563,BUKSZPANOWA 2,2
26041,20.06704742,50.09718277,BUKSZPANOWA 24,4
17489,20.06680241,50.09780757,BUKSZPANOWA 38,5
37108,20.06636374,50.09699767,BUKSZPANOWA 4,2
40057,20.06670209,50.09678729,BUKSZPANOWA 6,2
36424,20.06711538,50.09658997,BUKSZPANOWA 8,2
21577,20.07749904,50.10452175,EMILA FREEGE'GO 1,5
28104,20.0763899,50.10513733,EMILA FREEGE'GO 11,4
35197,20.07619794,50.10526164,EMILA FREEGE'GO 11A,3
26965,20.07565599,50.10563226,EMILA FREEGE'GO 17,4
28852,20.07798207,50.10459269,EMILA FREEGE'GO 2,4
26044,20.07719927,50.10469432,EMILA FREEGE'GO 3,4
34318,20.07772999,50.10467514,EMILA FREEGE'GO 4,3
33644,20.07749533,50.10481794,EMILA FREEGE'GO 6,3
20400,20.07672091,50.10498932,EMILA FREEGE'GO 7,5
16603,20.07727133,50.10493238,EMILA FREEGE'GO 8,6
42593,20.07610163,50.10504639,EMILA FREEGE'GO 9,1
34696,20.07724833,50.10072345,FOLWARCZNA 1,3
28487,20.07752686,50.10031473,FOLWARCZNA 10,4
26518,20.07727256,50.09991221,FOLWARCZNA 14,4
41684,20.08055042,50.0999746,FOLWARCZNA 19,2
41517,20.08077216,50.10007654,FOLWARCZNA 21,2
21145,20.08052405,50.100312,FOLWARCZNA 21A,5
27595,20.0776714,50.10061745,FOLWARCZNA 3,4
33804,20.07919541,50.09973078,FOLWARCZNA 34,3
26836,20.07972024,50.09965343,FOLWARCZNA 38A,4
26494,20.07937108,50.09939721,FOLWARCZNA 38B,4
14224,20.07892918,50.09903935,FOLWARCZNA 38C,7
46128,20.07903171,50.09874559,FOLWARCZNA 38E,1
20330,20.07734096,50.10044059,FOLWARCZNA 4,5
41239,20.08094066,50.09922897,FOLWARCZNA 44,2
41438,20.08060935,50.09902488,FOLWARCZNA 44A,2
41246,20.0803019,50.09885382,FOLWARCZNA 44B,2
41144,20.07993175,50.09852995,FOLWARCZNA 44C,2
27441,20.07968212,50.09837254,FOLWARCZNA 44D,4
42241,20.08152717,50.09927189,FOLWARCZNA 50,2
29138,20.08187764,50.09937754,FOLWARCZNA 54,4
26829,20.07707864,50.10020864,FOLWARCZNA 6,4
